x>0 	 Erf(x) 	 erf(x/sqrt2) 		 math.py 	 sci.py 	 m.py-sci.py-
-1.68  0.04647865786372 -0.90704268427256 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-1.66  0.04845722626672 -0.90308554746655 	 -4.4e-16 	 -3.3e-16 	 1.1e-16
-1.64  0.05050258347410 -0.89899483305179 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-1.62  0.05261613845425 -0.89476772309150 	 -3.3e-16 	 -2.2e-16 	 1.1e-16
-1.60  0.05479929169956 -0.89040141660088 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-1.58  0.05705343323775 -0.88589313352449 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-1.56  0.05937994059479 -0.88124011881041 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-1.54  0.06178017671181 -0.87643964657638 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-1.52  0.06425548781894 -0.87148902436213 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-1.50  0.06680720126886 -0.86638559746228 	 0.0e+00 	 0.0e+00 	 0.0e+00
-1.48  0.06943662333333 -0.86112675333334 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-1.46  0.07214503696589 -0.85570992606821 	 0.0e+00 	 0.0e+00 	 0.0e+00
-1.44  0.07493369953433 -0.85013260093135 	 0.0e+00 	 0.0e+00 	 0.0e+00
-1.42  0.07780384052655 -0.84439231894691 	 0.0e+00 	 0.0e+00 	 0.0e+00
-1.40  0.08075665923377 -0.83848668153246 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-1.38  0.08379332241501 -0.83241335516997 	 -3.3e-16 	 -4.4e-16 	 -1.1e-16
-1.36  0.08691496194708 -0.82617007610583 	 -1.1e-16 	 -3.3e-16 	 -2.2e-16
-1.34  0.09012267246445 -0.81975465507110 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-1.32  0.09341750899347 -0.81316498201306 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-1.30  0.09680048458561 -0.80639903082878 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-1.28  0.10027256795444 -0.79945486409112 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
